so2,no2,o3,MP10
"24	","	0.001	","	28	","		26"
"58	","	0.001	","	28	","		29"
"29	","	5	","	22	","		39"
"13	","	17	","	17	","		41"
"13	","	21	","	33	","		60.001"
"17	","	31	","	51	","		46"
"6	","	53	","	61	","		39"
"4	","	71	","	50	","		43"
"4	","	67	","	52	","		36"
"7	","	66	","	51	","		59"
"7	","	70	","	49	","		54"
"9	","	58	","	23	","		44"
"4	","	20	","	21	","		38"
"5	","	3	","	19	","		33"
"9	","	0.001	","	19	","		42"
"6	","	0.001	","	23	","		34"
"2	","	0.001	","	23	","		71"
"2	","	0.001	","	28	","		70.001"
"0.001	","	3	","	23	","		57"
"1	","	5	","	16	","		30.001"
"1	","	7	","	15	","		40.001"
"1	","	16	","	13	","		19"
"1	","	19	","	14	","		10.001"
"2	","	26	","	28	","		52"
"2	","	30	","	32	","		60.001"
"2	","	30	","	23	","		61"
"2	","	30	","	32	","		59"
"3	","	38	","	64	","		52"
"3	","	45	","	58	","		36"
"2	","	75	","	40	","		37"
"2	","	75	","	36	","		45"
"3	","	73	","	53	","		52"
"2	","	61	","	48	","		67"
"2	","	22	","	43	","		53"
"2	","	17	","	54	","		59"
"2	","	12	","	57	","		95"
"3	","	7	","	55	","		93"
"4	","	9	","	59	","		41"
"4	","	7	","	52	","		31"
"4	","	20	","	55	","		33"
"3	","	28	","	57	","		28"
"7	","	24	","	75	","		30.001"
"7	","	25	","	62	","		32"
"5	","	16	","	69	","		39"
"5	","	16	","	78	","		34"
"5	","	23	","	74	","		37"
"5	","	35	","	74	","		45"
"6	","	46	","	76	","		45"
"5	","	60	","	79	","		44"
"4	","	85	","	105	","		38"
"6	","	94	","	100	","		45"
"9	","	105	","	107	","		74"
"6	","	115	","	101	","		56"
"5	","	103	","	95	","		49"
"6	","	72	","	95	","		50.001"
"7	","	44	","	91	","		59"
"8	","	18	","	87	","		74"
"13	","	4	","	5	","		75"
"11	","	3	","	9	","		92"
"4	","	3	","	7	","		89"
"10.001	","	3	","	6	","		66"
"1	","	51	","	11	","		31"
"2	","	46	","	14	","		33"
"1	","	39	","	9	","		30.001"
"28	","	16	","	13	","		29"
"6	","	16	","	15	","		51"
"2	","	32	","	14	","		38"
"52	","	51	","	7	","		23"
"10.001	","	64	","	5	","		39"
"2	","	93	","	6	","		44"
"1	","	100	","	5	","		36"
"1	","	113	","	7	","		24"
"3	","	117	","	3	","		29"
"2	","	132	","	4	","		25"
"2	","	126	","	3	","		29"
"4	","	101	","	3	","		47"
"7	","	50	","	4	","		77"
"65	","	16	","	6	","		117"
"35	","	16	","	5	","		110.001"
"9	","	14	","	21	","		138"
"6	","	16	","	20	","		76"
"3	","	17	","	16	","		41"
"3	","	0.001	","	30	","		24"
"1	","	0.001	","	52	","		22"
"1	","	0.001	","	55	","		25"
"0.001	","	0.001	","	48	","		27"
"1	","	0.001	","	21	","		10.001"
"2	","	0.001	","	16	","		17"
"1	","	10	","	16	","		35"
"0.001	","	32	","	17	","		30.001"
"0.001	","	42	","	9	","		28"
"1	","	57	","	4	","		28"
"1	","	72	","	4	","		39"
"6	","	75	","	8	","		11"
"16	","	88	","	13	","		14"
"8	","	110	","	45	","		29"
"2	","	85	","	95	","		24"
"4	","	39	","	99	","		45"
"2	","	5	","	48	","		31"
"2	","	0.001	","	25	","		59"
"1	","	0.001	","	32	","		79"
"1	","	1	","	77	","		66"
"1	","	0.001	","	25	","		38"
"3	","	0.001	","	20	","		45"
"3	","	4	","	15	","		49"
"8	","	8	","	15	","		32"
"6	","	2	","	11	","		40.001"
"6	","	14	","	9	","		45"
"7	","	11	","	17	","		39"
"10.001	","	13	","	42	","		40.001"
"14	","	12	","	66	","		40.001"
"12	","	16	","	69	","		32"
"14	","	25	","	54	","		41"
"9	","	36	","	60	","		37"
"11	","	59	","	69	","		43"
"5	","	96	","	54	","		48"
"3	","	97	","	28	","		42"
"30.001	","	116	","	26	","		24"
"38	","	90	","	20	","		34"
"29	","	38	","	16	","		98"
"19	","	30	","	20	","		87"
"17	","	4	","	36	","		69"
"14	","	0.001	","	61	","		76"
"9	","	0.001	","	72	","		99"
"7	","	0.001	","	54	","		10.0019"
"6	","	0.001	","	52	","		111"
"7	","	0.001	","	46	","		89"
"11	","	0.001	","	45	","		35"
"8	","	0.001	","	28	","		51"
"11	","	0.001	","	39	","		25"
"10.001	","	0.001	","	35	","		20.001"
"10.001	","	0.001	","	31	","		40.001"
"16	","	0.001	","	34	","		36"
"26	","	0.001	","	38	","		52"
"20.001	","	1	","	40	","		52"
"17	","	25	","	59	","		30.001"
"13	","	36	","	55	","		61"
"14	","	47	","	76	","		47"
"8	","	61	","	80	","		39"
"5	","	76	","	97	","		52"
"5	","	71	","	99	","		50.001"
"4	","	59	","	79	","		48"
"5	","	46	","	98	","		27"
"5	","	33	","	93	","		39"
"4	","	0.001	","	84	","		48"
"4	","	0.001	","	101	","		42"
"5	","	0.001	","	70	","		33"
"4	","	0.001	","	51	","		41"
"9	","	0.001	","	57	","		38"
"7	","	0.001	","	62	","		63"
"5	","	3	","	52	","		86"
"3	","	3	","	53	","		78"
"3	","	14	","	21	","		43"
"3	","	23	","	24	","		33"
"4	","	20	","	27	","		27"
"5	","	4	","	30	","		31"
"6	","	8	","	27	","		23"
"6	","	23	","	29	","		32"
"5	","	39	","	23	","		24"
